,Rank,School,Conference,Record,Road,Neutral,Home,Non Div I
0,1,UCLA,Pac-12,28-3,5-1,2-1,21-1,0-0
1,2,Alabama,SEC,36-7,7-3,1-0,28-4,0-0
2,3,Florida,SEC,35-7,11-4,0-0,24-3,0-0
3,4,LSU,SEC,28-15,10-9,2-0,16-6,0-0
4,5,Florida St.,ACC,33-7,12-3,3-2,18-2,0-0
5,6,Arkansas,SEC,37-7,16-1,1-1,20-5,0-0
6,7,Oklahoma,Big 12,37-1,11-1,11-0,15-0,0-0
7,8,Oklahoma St.,Big 12,36-5,11-1,7-2,18-2,0-0
8,9,Washington,Pac-12,35-9,14-7,9-1,12-1,0-0
9,10,Tennessee,SEC,35-8,4-3,4-0,27-5,0-0
10,11,Texas,Big 12,35-6,7-5,2-0,26-1,0-0
11,12,Arizona,Pac-12,31-8,9-8,0-0,22-0,0-0
12,13,Arizona St.,Pac-12,28-11,3-5,3-0,22-6,0-0
13,14,Oregon,Pac-12,30-10,7-4,6-1,17-5,0-0
14,15,Georgia,SEC,29-14,7-5,1-0,21-9,0-0
15,16,Missouri,SEC,34-10,12-5,10-1,12-4,0-0
16,17,Clemson,ACC,37-4,13-0,1-0,23-4,0-0
17,18,Auburn,SEC,26-16,7-6,1-1,18-9,0-0
18,19,Duke,ACC,34-10,9-6,6-0,19-4,0-0
19,20,Kentucky,SEC,32-12,12-7,11-0,9-5,0-0
20,21,Louisiana,Sun Belt,35-9,19-5,3-0,13-4,0-0
21,22,Liberty,ASUN,32-12,9-5,6-4,17-3,0-0
22,23,Virginia Tech,ACC,28-11,15-4,2-1,11-6,0-0
23,24,Michigan,Big Ten,24-5,7-1,8-3,9-1,0-0
24,25,Notre Dame,ACC,26-12,13-10,3-2,10-0,0-0
25,26,Villanova,Big East,26-10,11-4,1-4,14-2,0-0
26,27,Ole Miss,SEC,31-16,6-9,4-4,21-3,0-0
27,28,Delaware,CAA,19-6,8-3,0-0,11-3,0-0
28,29,James Madison,CAA,27-1,8-1,1-0,18-0,0-0
29,30,Wichita St.,AAC,33-9,9-2,9-2,15-5,0-0
30,31,UCF,AAC,34-12,18-7,0-0,16-5,0-0
31,32,South Alabama,Sun Belt,25-13,9-7,2-2,14-4,0-0
32,33,Texas St.,Sun Belt,30-9,9-5,0-0,21-4,0-0
33,34,George Washington,Atlantic 10,25-8,14-6,0-1,11-1,0-0
34,35,Texas A&M,SEC,31-14,5-7,0-0,26-7,0-0
35,36,Hofstra,CAA,12-12,6-9,1-1,5-2,0-0
36,37,Mississippi St.,SEC,25-21,7-14,1-1,17-6,0-0
37,38,Boston U.,Patriot,28-2,17-1,0-0,11-1,0-0
